pairs,datetime,orderbook,price,amounts
LTCEUR,"2022-03-02, 11:02:55",ask,145.72,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,145.74,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,145.94,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,145.98,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,146.07,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,146.3,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,146.41,0.46
LTCEUR,"2022-03-02, 11:02:55",ask,146.54,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,146.63,0.27
LTCEUR,"2022-03-02, 11:02:55",ask,146.76,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,146.93,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,147.13,0.5
LTCEUR,"2022-03-02, 11:02:55",ask,147.36,0.52
LTCEUR,"2022-03-02, 11:02:55",ask,148.65,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,150.0,4.33
LTCEUR,"2022-03-02, 11:02:55",ask,150.38,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,152.14,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,152.65,0.44
LTCEUR,"2022-03-02, 11:02:55",ask,153.91,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,155.0,14.0
LTCEUR,"2022-03-02, 11:02:55",ask,155.01,4.04
LTCEUR,"2022-03-02, 11:02:55",ask,158.0,1.0
LTCEUR,"2022-03-02, 11:02:55",ask,158.99,2.35
LTCEUR,"2022-03-02, 11:02:55",ask,160.0,0.89
LTCEUR,"2022-03-02, 11:02:55",ask,160.16,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,160.97,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,162.23,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,162.75,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,164.1,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,164.54,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,165.0,1.9
LTCEUR,"2022-03-02, 11:02:55",ask,165.57,0.38
LTCEUR,"2022-03-02, 11:02:55",ask,167.25,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,168.09,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,168.83,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,168.93,0.51
LTCEUR,"2022-03-02, 11:02:55",ask,169.46,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,169.77,0.58
LTCEUR,"2022-03-02, 11:02:55",ask,170.0,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,170.18,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,170.31,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,171.48,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,172.34,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,173.72,0.31
LTCEUR,"2022-03-02, 11:02:55",ask,174.56,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,175.0,3.41
LTCEUR,"2022-03-02, 11:02:55",ask,175.44,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,176.05,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,177.0,2.27
LTCEUR,"2022-03-02, 11:02:55",ask,179.03,0.72
LTCEUR,"2022-03-02, 11:02:55",ask,179.33,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,180.0,2.05
LTCEUR,"2022-03-02, 11:02:55",ask,180.23,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,181.0,1.11
LTCEUR,"2022-03-02, 11:02:55",ask,181.67,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,182.58,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,183.93,0.41
LTCEUR,"2022-03-02, 11:02:55",ask,184.0,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,184.14,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,184.29,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,185.07,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,185.09,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,185.3,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,185.31,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,185.37,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,185.46,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,185.57,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,185.65,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,186.0,1.08
LTCEUR,"2022-03-02, 11:02:55",ask,186.02,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,186.37,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,186.72,0.5
LTCEUR,"2022-03-02, 11:02:55",ask,186.96,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,187.89,0.65
LTCEUR,"2022-03-02, 11:02:55",ask,187.91,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,188.0,0.48
LTCEUR,"2022-03-02, 11:02:55",ask,188.27,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,189.0,0.9
LTCEUR,"2022-03-02, 11:02:55",ask,189.22,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,189.56,1.45
LTCEUR,"2022-03-02, 11:02:55",ask,189.59,0.36
LTCEUR,"2022-03-02, 11:02:55",ask,190.0,12.0
LTCEUR,"2022-03-02, 11:02:55",ask,190.62,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,191.58,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,192.0,10.53
LTCEUR,"2022-03-02, 11:02:55",ask,192.1,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,192.12,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,192.22,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,192.27,1.29
LTCEUR,"2022-03-02, 11:02:55",ask,192.77,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,192.9,4.36
LTCEUR,"2022-03-02, 11:02:55",ask,193.0,1.05
LTCEUR,"2022-03-02, 11:02:55",ask,193.11,0.32
LTCEUR,"2022-03-02, 11:02:55",ask,194.8,3.57
LTCEUR,"2022-03-02, 11:02:55",ask,195.0,1.0
LTCEUR,"2022-03-02, 11:02:55",ask,195.39,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,196.05,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,196.4,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,197.0,1.02
LTCEUR,"2022-03-02, 11:02:55",ask,197.04,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,197.19,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,197.51,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,198.27,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,199.6,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,200.0,10.5
LTCEUR,"2022-03-02, 11:02:55",ask,200.6,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,200.95,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,201.0,1.0
LTCEUR,"2022-03-02, 11:02:55",ask,201.75,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,202.24,0.37
LTCEUR,"2022-03-02, 11:02:55",ask,203.0,12.97
LTCEUR,"2022-03-02, 11:02:55",ask,203.26,0.37
LTCEUR,"2022-03-02, 11:02:55",ask,203.43,0.26
LTCEUR,"2022-03-02, 11:02:55",ask,203.49,2.59
