fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,38118.94,38234.93,37924.93,38093.43,38145.27929,38173.31545,73750.8454,1.932,2022-02-09T09:00:00.000Z,2022-02-09T10:00:00.000Z
BTCEUR,38054.0,38276.9,38054.0,38104.0,38172.19794,38208.59841,2804.51109,0.0734,2022-02-09T10:00:00.000Z,2022-02-09T11:00:00.000Z
BTCEUR,38104.0,38371.68,38000.28,38371.68,38172.93758,38296.76974,5828.76834,0.1522,2022-02-09T11:00:00.000Z,2022-02-09T12:00:00.000Z
BTCEUR,38371.68,38725.01,38340.7,38654.0,38512.97194,38449.94971,5978.96715,0.1555,2022-02-09T12:00:00.000Z,2022-02-09T13:00:00.000Z
BTCEUR,38654.0,38941.92,38345.61,38519.35,38715.59523,38805.60234,37525.01743,0.967,2022-02-09T13:00:00.000Z,2022-02-09T14:00:00.000Z
BTCEUR,38519.76,38770.0,38379.0,38665.9,38558.53572,38585.97062,6015.55278,0.1559,2022-02-09T14:00:00.000Z,2022-02-09T15:00:00.000Z
BTCEUR,38665.9,38774.99,38429.0,38429.0,38550.03816,38696.11665,25392.39174,0.6562,2022-02-09T15:00:00.000Z,2022-02-09T16:00:00.000Z
BTCEUR,38429.0,38634.96,38308.61,38634.96,38463.11995,38431.20388,3485.71014,0.0907,2022-02-09T16:00:00.000Z,2022-02-09T17:00:00.000Z
BTCEUR,38634.96,38736.12,38547.67,38603.97,38635.49736,38653.59557,13312.29827,0.3444,2022-02-09T17:00:00.000Z,2022-02-09T18:00:00.000Z
BTCEUR,38603.97,38692.45,38529.0,38692.45,38598.42351,38635.41459,1773.36551,0.0459,2022-02-09T18:00:00.000Z,2022-02-09T19:00:00.000Z
BTCEUR,38692.45,39155.86,38683.11,38979.0,38973.2387,38963.57601,22949.54621,0.589,2022-02-09T19:00:00.000Z,2022-02-09T20:00:00.000Z
BTCEUR,38979.0,39198.12,38929.0,39134.91,39080.79494,39094.50216,2975.09157,0.0761,2022-02-09T20:00:00.000Z,2022-02-09T21:00:00.000Z
BTCEUR,39134.91,39200.0,39004.0,39004.0,39111.17268,39050.90014,12164.35537,0.3115,2022-02-09T21:00:00.000Z,2022-02-09T22:00:00.000Z
BTCEUR,39004.0,39099.98,38829.0,39003.85,38963.63721,38994.54525,13948.34878,0.3577,2022-02-09T22:00:00.000Z,2022-02-09T23:00:00.000Z
BTCEUR,39003.85,39084.76,38829.0,38829.0,38945.60266,39043.99068,1350.92207,0.0346,2022-02-09T23:00:00.000Z,2022-02-10T00:00:00.000Z
BTCEUR,38829.0,38829.0,38635.22,38635.22,38729.893,38722.59196,689.26213,0.0178,2022-02-10T00:00:00.000Z,2022-02-10T01:00:00.000Z
BTCEUR,38635.22,38775.0,38635.22,38775.0,38750.0,38757.95454,85.2675,0.0022,2022-02-10T01:00:00.000Z,2022-02-10T02:00:00.000Z
BTCEUR,38775.0,38874.99,38479.0,38484.27,38662.2681,38660.89784,5018.18451,0.1298,2022-02-10T02:00:00.000Z,2022-02-10T03:00:00.000Z
BTCEUR,38474.21,38477.0,38295.4,38400.0,38382.49159,38354.67285,9308.67906,0.2427,2022-02-10T03:00:00.000Z,2022-02-10T04:00:00.000Z
